Extensometer Strain (1e-6),Engineering Stress (MPa)
17555,278.35843
17588,278.30539
17625,278.34338
17664,278.4169
17698,278.34863
17739,278.599
17778,278.42133
17813,278.48956
17860,278.59647
17895,278.43683
17938,278.75052
17969,278.43387
18009,278.61166
18050,278.70135
18080,278.47379
18123,278.80176
18156,278.51141
18192,278.64636
18233,278.76181
18268,278.60895
18310,278.98193
18342,278.62552
18382,278.84451
18425,278.95752
18457,278.72034
18500,279.06985
18534,278.76724
18570,278.94052
18611,278.98511
18647,278.79691
18690,279.07187
18724,278.89462
18760,278.99323
18799,279.08359
18836,279.03452
18875,279.17383
18913,279.10175
18950,279.16827
18989,279.19928
19026,279.16165
19064,279.23291
19101,279.27356
19137,279.20102
19175,279.22974
19214,279.31573
19249,279.2319
19287,279.38345
19326,279.3056
19362,279.3717
19404,279.55719
19438,279.33151
19480,279.6398
19516,279.44058
19551,279.47394
19595,279.68567
19625,279.42001
19668,279.76837
19702,279.44394
19739,279.53241
19780,279.74933
19813,279.47858
19853,279.81998
19890,279.61661
19928,279.73837
19969,279.9212
20002,279.65002
20045,280.02835
20080,279.74774
20117,279.85052
20160,280.04294
20189,279.78284
20231,280.07996
20266,279.86926
20305,279.94879
20344,280.05402
20379,279.90958
20417,280.11957
20456,280.06952
20494,280.10733
20533,280.19937
20569,280.14822
20606,280.2496
20644,280.25351
20681,280.24341
20719,280.30316
20756,280.31586
20793,280.23862
20830,280.37061
20867,280.30212
20904,280.31967
20945,280.49304
20978,280.34335
21018,280.57565
21055,280.49051
21090,280.48428
21133,280.73077
21163,280.43082
21205,280.70349
21242,280.58728
21276,280.59641
21318,280.80646
21350,280.53763
21390,280.83948
21425,280.65411
21460,280.68188
21504,280.96021
21534,280.67255
21576,281.0119
21609,280.83292
21645,280.88644
21686,281.09708
21719,280.82498
21760,281.14624
21797,280.94943
21830,280.98083
21869,281.13129
21905,280.94696
21946,281.17566
21977,281.08295
22015,281.11597
22052,281.24692
22086,281.17932
22123,281.27045
22163,281.3226
22199,281.37814
22236,281.34476
22273,281.35919
22308,281.4035
22345,281.43314
22381,281.41031
22419,281.4115
22457,281.55362
22489,281.41156
22529,281.55347
22563,281.55173
22599,281.56607
22638,281.74265
22672,281.55679
22709,281.79156
22744,281.6644
22778,281.61273
22821,281.98001
22850,281.62723
22892,281.89642
22927,281.74524
22957,281.73001
22999,282.01169
23026,281.7218
23066,282.00577
23102,281.92606
23133,281.87448
23175,282.22064
23206,281.87668
23244,282.21048
23278,282.04019
23312,282.06039
23355,282.33014
23386,281.97382
23424,282.28519
23464,282.17075
23516,282.17145
23559,282.40546
23589,282.14288
23626,282.37299
23660,282.33292
23694,282.35565
23730,282.48352
23763,282.40598
23802,282.50607
23837,282.55109
23871,282.54721
23908,282.56357
23944,282.58115
23977,282.53009
24012,282.62891
24046,282.60123
24079,282.58521
24116,282.77536
24151,282.67459
24186,282.80554
24219,282.7756
24255,282.72382
24293,283.02228
24325,282.75201
24362,282.99628
24397,282.90872
24429,282.84195
24468,283.13394
24499,282.80533
24535,283.06839
24569,283.00784
24601,282.94824
24641,283.29288
24668,282.95166
24705,283.24265
24742,283.16293
24774,283.12558
24815,283.38818
24844,283.08514
24883,283.45047
24936,283.28119
24977,283.23383
25018,283.47644
25045,283.23376
25083,283.46268
25115,283.42813
25148,283.40707
25186,283.56705
25217,283.41724
25254,283.61472
25289,283.61008
25324,283.61371
25361,283.64993
25399,283.69858
25434,283.69955
25468,283.70981
25502,283.69894
25534,283.67999
25569,283.80707
25601,283.74203
25637,283.82571
25673,283.8764
25704,283.79535
25745,284.07956
25775,283.86652
25811,284.04498
25846,284.01917
25881,283.9288
25921,284.28802
25946,283.91031
25984,284.15216
26021,284.12506
26050,283.99356
26089,284.35272
26119,284.03342
26155,284.28595
26190,284.26285
26219,284.16107
26263,284.55441
26291,284.17523
26330,284.46991
26364,284.41696
26397,284.32666
26437,284.66266
26464,284.2774
26502,284.60538
26537,284.48575
26567,284.41171
26606,284.65097
26637,284.491
26671,284.67966
26705,284.65497
26739,284.63538
26778,284.76697
26809,284.66977
26845,284.81091
26882,284.87637
26916,284.81503
26950,284.8255
26986,284.91034
27018,284.82352
27054,284.8887
27088,284.91217
27120,284.88306
27156,285.10458
27190,284.93762
27224,285.07541
27262,285.11923
27295,284.98511
27331,285.30997
27363,285.0527
27411,285.23624
27446,285.26196
27478,285.08987
27516,285.39087
27545,285.09363
27580,285.30078
27615,285.34402
27647,285.20697
27687,285.53134
27717,285.23984
27756,285.53638
27791,285.51849
27822,285.35605
27862,285.71606
27892,285.43018
27931,285.71167
27966,285.59326
27995,285.50201
28037,285.76379
28065,285.54697
